The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
Mshtml.dll.mui,11.0.9600.18538,"275,456",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"290,816",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"292,864",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"296,448",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"257,536",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"256,512",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"288,768",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"288,256",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"284,672",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"294,912",12-Nov-16,21:32,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"296,960",12-Nov-16,21:31,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"292,352",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"295,424",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"293,888",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"293,888",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"292,864",12-Nov-16,20:29,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"290,816",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18666,"290,304",16-Apr-17,9:45,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"286,208",12-Nov-16,20:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"281,600",12-Nov-16,20:28,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"286,208",12-Nov-16,20:28,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"292,352",12-Nov-16,20:28,Not applicable,None,Not applicable
